type,delta1980,delta1990,delta2000,delta2010,delta2015
Female,.26475331,.24807335,.26200706,.25732777,.25232843
Female aged 15-29 years,.26382867,.2386481,.24779622,.23838367,.23782073
Female aged 30-44 years,.27585319,.26107559,.27523783,.26739436,.26037225
Female aged 45-59 years,.28646329,.27521589,.29303122,.28011158,.26680377
Female aged 60 years and over,.27121729,.2695646,.28877565,.29337227,.29072985
Single female,.23246722,.21560232,.22848164,.22438394,.22385912
Married female,.29716939,.2743181,.28578869,.27580622,.26755011
Married female without children,.29309002,.26545301,.27525863,.26468244,.2591562
Married female with children aged 0-5 years,.31952825,.30411044,.31803668,.30562007,.29388449
Married female with children aged 6-15 years,.27859008,.25001517,.26326391,.2488932,.23628545
Single female with high school degree or below,.23792338,.22709523,.2468217,.25217083,
Married female with high school degree or below,.29910293,.27952,.29710695,.29333711,
Single female with university degree or above,.20618474,.17415749,.18671642,.18689221,
Married female with university degree or above,.26752919,.24442925,.24020475,.23281808,
