type,delta1980,delta1990,delta2000,delta2010,delta2015
Male,.22805293,.20323427,.22050847,.22032666,.2171302
Male aged 15-29 years,.21200164,.18271357,.20926709,.20590246,.20507275
Male aged 30-44 years,.24102257,.22369851,.23451042,.23782508,.23624839
Male aged 45-59 years,.23980843,.20565431,.2132185,.1990815,.19137491
Male aged 60 years and over,.25225833,.24214184,.25096378,.2443171,.23972888
Single male,.18539888,.16260003,.18117958,.18570487,.18660925
Married male,.25131956,.2314502,.24863786,.24457557,.24184681
Married male without children,.24541093,.21175665,.2295258,.22176938,.22009753
Married male with children aged 0-5 years,.26159164,.24979298,.26778278,.26817659,.26541355
Married male with children aged 6-15 years,.23792543,.21415751,.23019411,.217842,.21426772
Single male with high school degree or below,.20698738,.19316058,.21295929,.22193551,
Married male with high school degree or below,.26977876,.25596258,.28142792,.28123868,
Single male with university degree or above,.14746313,.12450301,.14453068,.15274405,
Married male with university degree or above,.20581333,.19106589,.19715326,.19813661,
