type,delta1980,delta1990,delta2000,delta2010,delta2015
Female,.31167337,.26884845,.27032486,.25328186,.24356399
Female aged 15-29 years,.29347864,.24920328,.23986709,.21059459,.20052075
Female aged 30-44 years,.3340199,.28213742,.28126329,.26760748,.25677308
Female aged 45-59 years,.34563613,.33145079,.35678792,.31596404,.30052823
Female aged 60 years and over,.31281081,.30104265,.36387578,.35343131,.35774371
Single female,.29619479,.25228438,.24866842,.23525566,.22502863
Married female,.31914499,.26808891,.26795217,.25011003,.24399267
Married female without children,.29840419,.25300694,.25054067,.24089237,.23881924
Married female with children aged 0-5 years,.32923326,.28620496,.29467943,.26205346,.25395811
Married female with children aged 6-15 years,.35495234,.29419443,.31515172,.28900459,.25899634
Single female with high school degree or below,.29742596,.26063284,.27099413,.2672711,
Married female with high school degree or below,.32457361,.28199381,.29361007,.27267167,
Single female with university degree or above,.26617074,.20236062,.21048583,.20947467,
Married female with university degree or above,.28508008,.22101527,.23533338,.23823468,
