type,delta1980,delta1990,delta2000,delta2010,delta2015
Male,.27417403,.22628526,.23416348,.21895784,.21189289
Male aged 15-29 years,.24981035,.19029236,.19508846,.17223518,.1586125
Male aged 30-44 years,.28209993,.23716404,.23372327,.22070968,.2160657
Male aged 45-59 years,.32938412,.30089325,.30772793,.2689327,.25754285
Male aged 60 years and over,.30872628,.282141,.33519086,.31527033,.31915793
Single male,.24647094,.18993966,.19581853,.19070512,.1754144
Married male,.28412297,.23994152,.24188852,.21859974,.21617848
Married male without children,.28302744,.22920085,.22609128,.21138459,.21171451
Married male with children aged 0-5 years,.2717219,.23820125,.24330801,.21676032,.21748619
Married male with children aged 6-15 years,.32052752,.27532116,.29588845,.26783887,.24097414
Single male with high school degree or below,.27380264,.22713329,.24334031,.22667772,
Married male with high school degree or below,.31788304,.29026315,.31245741,.27656105,
Single male with university degree or above,.18520057,.13500644,.15669093,.17261356,
Married male with university degree or above,.24456657,.20579535,.21312238,.20634377,
