type,delta1980,delta1990,delta2000,delta2010,delta2015
Female,.35650924,.32011086,.30902782,.28905001,.27552676
Female aged 15-29 years,.31699213,.28067845,.26864836,.239448,.22978629
Female aged 30-44 years,.37689781,.32657483,.29769275,.28072989,.26515055
Female aged 45-59 years,.41762999,.41224298,.42630532,.39441705,.36100629
Female aged 60 years and over,.38852629,.38599858,.41197512,.41269818,.40323052
Single female,.32562548,.29887858,.28400144,.26518258,.2523284
Married female,.36461273,.31187883,.29228607,.27356762,.26074183
Married female without children,.33365265,.27673718,.27075472,.25060007,.24109368
Married female with children aged 0-5 years,.36938652,.33018482,.31260714,.29952589,.28418559
Married female with children aged 6-15 years,.42408872,.38666153,.36835751,.3434225,.30637667
Single female with high school degree or below,.33214784,.31942683,.31273255,.30622321,
Married female with high school degree or below,.380182,.3440738,.33649254,.32763886,
Single female with university degree or above,.27473235,.21889772,.21323581,.21363713,
Married female with university degree or above,.28753138,.23472668,.23517275,.23077981,
