type,delta1980,delta1990,delta2000,delta2010,delta2015
Male,.32718614,.28670058,.28334782,.27589914,.26591188
Male aged 15-29 years,.28311443,.23751085,.24657337,.22099175,.20200612
Male aged 30-44 years,.33846605,.29336208,.27221152,.27213958,.26468953
Male aged 45-59 years,.38108873,.37644401,.37066293,.32645449,.31358624
Male aged 60 years and over,.38758588,.36407053,.39450297,.40921724,.39189729
Single male,.2751151,.22974716,.23590346,.2361701,.22317946
Married male,.33988488,.3009806,.28686211,.27288565,.26499021
Married male without children,.32300383,.27166146,.26667383,.25070003,.24724473
Married male with children aged 0-5 years,.33168724,.30427283,.29148999,.28245816,.27638239
Married male with children aged 6-15 years,.38733461,.35389626,.34817854,.32232833,.28261629
Single male with high school degree or below,.30983764,.2865729,.29562411,.3029426,
Married male with high school degree or below,.38641962,.36591455,.36472645,.35029826,
Single male with university degree or above,.20724599,.15072475,.16738723,.18588449,
Married male with university degree or above,.27864769,.25215754,.24244572,.24295849,
